著者,タイトル,発行元、大会,年月,ページ等
"諏訪大樹, 松岡丈平, 田胡和哉",単位時間の異なる特徴量を組み合わせた個人識別法の提案.,情報処理学会第 82 回全国大会講演論文集,2020.1,227-228
"李寧遠, 松岡丈平, 田胡和哉",人物の認識と追跡を用いた待ち行列領域検出に関する研究.,電子情報通信学会技術研究報告; 信学技報,2020,31-34
"厳帥, 田胡和哉, 松岡丈平",ディープラーニングに基づく諷刺識別研究.,情報処理学会第 84 回全国大会講演論文集,2022.1,741-742
"張浩鋭, 松岡丈平, 加川敏規, 服部聖彦",Transmissive Spherical Rotating LED POV Display with Wireless Power Supply for Board Games.,情報処理学会第 84 回全国大会講演論文集,2022.1,303-304
高谷悠太郎，服部聖彦，松岡丈平,児童の学習状況把握を目的とした手書きデータに基づく教諭向けICTツール．,電子情報通信学会 教育工学研究会（ET）,2022.2,
"三田渉, 松岡丈平, 田胡和哉",SLAM 出力に対する環境認識情報付加機能の提案.,研究報告オーディオビジュアル複合情報処理 (AVM),2023.6,1-4
田胡 和哉，舘野 ゆらら，三田 渉，松岡丈平,高位行動プランニングのための地図アーキテクチャの設計と実装.,第41回日本ロボット学会学術講演会(RSJ2023),2023.9,
"羅昱晟, 松岡丈平",人数計測を目的とした非線形 Queue-flow 検出法の提案.,IEICE-SIS,2023.10,
竹中陽登，原田智広，三浦幸也，服部聖彦，松岡丈平,深層強化学習を用いた大きさの異なる車両間の協調的な自動運転制御,計測自動制御学会システム・情報部門学術講演会 2023,2023,
"今野景介, 松岡丈平",物体検出向け学習データセット作成支援システムの提案と実装,IEICE-SIS,2023,
"沖浦慶彦, 田中義久, 松岡丈平",セラミックス基複合材料における小角散乱画像を用いた段階的なき裂検出,第84回分析化学討論会,2024.5,
"クダイベルガノワティムル, 田中義久, 松岡丈平",セラミックス基複合材料の劣化度評価のための教師データ作成支援ツールの開発,第84回分析化学討論会,2024.5,
"田胡 和哉, 三田 渉, 松岡 丈平",ROSを用いた統合環境認知機構の提案,第42回日本ロボット学会学術講演会(RSJ2024),2024.9,
"徳原 利篤, 田胡 和哉, 松岡 丈平",陽な知識表現とその視点変換による行動プランニング機構の提案,第43回日本ロボット学会学術講演会,2025.9,
高倉一樹，松岡丈平,マルチエージェント強化学習を活用した協調行動獲得のための自動運転制御,大学コンソーシアム八王子,2025.12,
佐想康太，松岡丈平,視線情報と筆記情報を用いた学習状況把握機能を持つ教育用ICTツールの開発と有効性評価,大学コンソーシアム八王子,2025.12,
