著者,タイトル,発行元、大会,年月,ページ等,著者区分,備考,リンク
Johei Matsuoka,Processing Time Reduction for Non-local Median Filter.,"20th International Symposium on Communications and Information Technologies (ISCIT), IEEE",2021,,単独著者,,https://www.scopus.com/pages/publications/85119599392
"Tomohiro Harada, Johei Matsuoka, Kiyohiko Hattori",Emergent Rule Discovery for Automated Driving Using Multi-Agent Simulation.,"the Joint Symposium: 27th International Symposium on Artificial Life and Robotics, 7th International Symposium on BioComplexity, and 5th International Symposium on Swarm Behavior and Bio-Inspired Robotics (AROB-ISBC-SWARM 2022)",2022,1804-1809,共著者,,https://www.scopus.com/pages/publications/85182594897
"Ebihara, Kohta, Johei Matsuoka,  Kiyohiko Hattori",Programming in the Metaverse Era: VR Empowering the Educational Effects of Tangibles.,ICAT-EGVE (Posters and Demos),2022,,共著者,,https://icat.vrsj.org/2022/program.html
"Keita Tashiro, Jyouhei Matsuoka, Kiyohiko Hattori",Extending Behavior Dimensions with Curriculum Learning for Use in Astronaut Support Robots,6th International Symposium on Swarm Behavior and Bio-Inspired Robotics,2023,1535-1539,共著者,,
"Ryuma Saotome, Kiyohiko Hattori, Tomohiro Harada, Johei Matsuoka",Proposal of Signal-less Intersection Control with Dynamic Obstacles Optimized by Using Genetic Algorithm --- A Concept of Virtual Walls ---,"the Joint Symposium: 28th International Symposium on Artificial Life and Robotics, 8th International Symposium on BioComplexity, and 6th International Symposium on Swarm Behavior and Bio-Inspired Robotics (AROB-ISBC-SWARM 2023)",2023,,共著者,,https://www.fujipress.jp/jrm/rb/robot003600030628/
"Reo Nakaya, Tomohiro Harada, Yukiya Miura, Kiyohiko Hattori, Johei Matsuoka",Emergence of Cooperative Automated Driving Control at Roundabouts Using Deep Reinforcement Learning.,2023 62nd Annual Conference of the Society of Instrument and Control Engineers (SICE). IEEE,2023,,共著者,,https://ieeexplore.ieee.org/document/10354212
"Mita, Wataru, Johei Matsuoka, Kazuya Tago",A Vectorized Map Library as a Platform for Higher Layer Planning for Mobile Robots.,IEICE Proceedings Series 77.RS4-1,2023,,筆頭著者（指導学生）,,https://www.ieice.org/publications/proceedings/summary.php?expandable=17&iconf=SISA&session_num=RS4&number=RS4-1&year=2023
"Akito Takenaka, Tomohiro Harada, Yukiya Miura, Kiyohiko Hattori, Johei Matsuoka ",Cooperative Autonomous Driving Control Among Vehicles of Different Sizes Using DeepReinforcement Learning," IEEE World Congress on Computational Intelligence (IEEE WCCI 2024), 2024.",2024,,共著者,,https://www.scopus.com/pages/publications/85204954647
"Jyunya Hoshino, Yuuki Itoh, Ryuma Saotome, Tomohiro Harada, Kenji Matsuda, Tenta Suzuki, Mao Tobisawa, Kaito Kumagae, Johei Matsuoka, Toshinori Kagawa, Kiyohiko Hattori",Interchange Flow Control with Dynamic Obstacles Optimized Using Genetic Algorithms - A Concept of Virtual Walls -,"Joint Symposium: 29th International Symposium on Artificial Life and Robotics, 9th International Symposium on BioComplexity, and 7th International Symposium on Swarm Behavior and Bio-Inspired Robotics (AROB-ISBC-SWARM 2024)",2024.1.24-26,,筆頭著者（指導学生）,,拡張論文として、論文の項目にリンクあり
"Junya Hoshino, Yuki Itoh, Tenta Suzuki, Kenji Matsuda, Kaito Kumagae, Mao Tobisawa, Tomohiro Harada, Johei Matsuoka, Toshinori Kagawa, Kiyohiko Hattori",Virtual Wall Based Signal-less Intersection Control Evaluation of Robustness to Changes in the Intersection Environment,"The 8th International Symposium on Swarm Behavior and Bio-Inspired Robotics 2024 (SWARM2024)",2024,,筆頭著者（指導学生）,,https://www.swarm-systems.org/swarm2024/program
"Kenji Matsuda, Tenta Suzuki, Tomohiro Harada, Johei Matsuoka, Jyunya Hoshino, Yuki Itoh, Kaito Kumagae, Toshinori Kagawa, Kiyohiko Hattori",A Study of Signal-less Intersection Control by Mutual Cooperative Learning between Automated Vehicles and Intersection Control Agent,"The 8th International Symposium on Swarm Behavior and Bio-Inspired Robotics 2024 (SWARM2024)",2024,,筆頭著者（指導学生）,,https://www.swarm-systems.org/swarm2024/program
"Akito Takenaka, Tomohiro Harada, Yukiya Miura, Kiyohiko Hattori, Johei Matuoka",Deep Reinforcement Learning Method Considering Vehicle Sizes for Cooperative Autonomous Driving," the Joint Symposium of 30th International Symposium on Artificial Life and Robotics and 10th International Symposium on BioComplexity (AROB-ISBC 2025), pp. 113-118, 2025.",2025-1,,共著者,,
"Tobisawa Mao, Kenji Matsuda, Tenta Suzuki, Tomohiro Harada, Jyunya Hoshino, Yuuki Itoh, Kaito Kumagae, Johei Matsuoka, Kiyohiko Hattori",Reinforcement learning-based autonomous driving control for efficient road utilization in lane-less environment," the Joint Symposium of 30th International Symposium on Artificial Life and Robotics and 10th International Symposium on BioComplexity (AROB-ISBC 2025), pp. 113-118, 2025.",2025-1,,筆頭著者（指導学生）,,拡張論文として、論文の項目にリンクあり
"Kaito Kumagae, Mao Tobisawa, Kenji Matsuda, Tenta Suzuki, Junya Hoshino, Yuki Itoh, Johei Matsuoka, Tomohiro Harada, Kiyohiko Hattori",Optimization of Vehicle Collision Avoidance Behavior by Variable Directional Sensor Control Using Reinforcement Learning," the Joint Symposium of 30th International Symposium on Artificial Life and Robotics and 10th International Symposium on BioComplexity (AROB-ISBC 2025), pp. 113-118, 2025.",2025-1,,筆頭著者（指導学生）,,
"Clive Jancen Kawaoto, Tenta Suzuki, Mao Tobisawa, Junya Hoshino, Yuki Itoh, Kaito Kumagae, Kenji Matsuda, Johei Matsuoka, Kiyohiko Hattori",Supervised Collaborative Learning System Using a Wire-Connected Two-Wheeled Rover for Planetary Exploration," the Joint Symposium of 30th International Symposium on Artificial Life and Robotics and 10th International Symposium on BioComplexity (AROB-ISBC 2025), pp. 113-118, 2025.",2025-1,,筆頭著者（指導学生）,,
"Tenta Suzuki, Mao Tobisawa, Clive Jancen Kawaoto, Kaito Kumagae, Yuki Itoh, Kenji Matsuda, Junya Hoshino, Tomohiro Harada, Jyouhei Matsuoka and Kiyohiko Hattori. ",Improving DRL Policies via Explainable Action Correction Based on Accident Cause Analysis,The 9th International Symposium on Swarm Behavior and Bio-Inspired Robotics 2025 (SWARM2025),2025-9,,筆頭著者（指導学生）,,
"Tenta Suzuki, Yuta Tobe, Tomohiro Harada, Johei Matsuoka and Kiyohiko Hattori",Pheromone-Reward Reinforcement Learning for Trajectory Design of Multi-Agent: Evaluation Using Lane-less Self Driving as a Case Study,The 9th International Symposium on Swarm Behavior and Bio-Inspired Robotics 2025 (SWARM2025),2025-9,,筆頭著者（指導学生）,Best Poster 3位(https://www25.swarm-systems.org/awards/),
