著者,タイトル,発行元、大会,年月,ページ等,著者区分,備考,リンク
"Ningyuan Li, Matsuoka Johei, Tago Kazuya.",Automatic Counting of Waiting Person Using Queue Area Detection of People Based on Machine Learning.,革新的コンピューティング・情報・制御に関する速報-B: 応用,2021,603,責任著者,レター,https://www.scopus.com/pages/publications/85120816885
"Shibata Chihiro, Shichijo Naohiro, Matsuoka Johei, Takeshima Yuriko, Yang Jenn Ming, Tanaka Yoshihisa, Kagawa Yutaka",Automated Damage Detection of (C/C)/Si/SiC Composite Using Vibration Modes with Deep Neural Networks.,Journal of Composites Science,2021-5-11,301,共著者,,https://www.scopus.com/pages/publications/85120033082
松岡丈平,高発生確率インパルス雑音除去を目的とした Robust Non-local Median Filter のカラー拡張,情報処理学会論文誌63.3,2022,808-816,単独著者,,https://cir.nii.ac.jp/crid/1390010292699560960?lang=en
"Harada, Tomohiro, Johei Matsuoka, Kiyohiko Hattori",Behavior Analysis of Emergent Rule Discovery for Cooperative Automated Driving Using Deep Reinforcement Learning.,Artificial Life and Robotics 28.1 ,2023,31-42,共著者,,https://www.scopus.com/pages/publications/85144147098
"Kenji Matsuda, Tenta Suzuki, Tomohiro Harada, Johei Matsuoka, Mao Tobisawa, Jyunya Hoshino, Yuuki Itoh, Kaito Kumagae, Toshinori Kagawa, Kiyohiko Hattori",Hierarchical Reward Model of Deep Reinforcement Learning for Enhancing Cooperative Behavior in Automated Driving.,Journal of Advanced Computational Intelligence and Intelligent Informatics (JACIII),2024,431-443,筆頭著者（指導学生）,,https://www.scopus.com/pages/publications/85189706994
"Jyunya Hoshino, Yuuki Itoh, Ryuma Saotome, Tomohiro Harada, Kenji Matsuda, Tenta Suzuki, Mao Tobisawa, Kaito Kumagae, Johei Matsuoka, Toshinori Kagawa, Kiyohiko Hattori",Interchange Flow Control with Dynamic Obstacles Optimized Using Genetic Algorithms - A Concept of Virtual Walls -.,Artificial Life and Robotics,2024,1-12,筆頭著者（指導学生）,拡張論文,https://www.scopus.com/pages/publications/85191158605
"Tenta Suzuki, Kenji Matsuda, Kaito Kumagae, Mao Tobisawa, Junya Hoshino, Yuki Itoh, Tomohiro Harada, Jyouhei Matsuoka, Toshinori Kagawa, Kiyohiko Hattori",Acquisition of Cooperative Control of Multiple Vehicles Through Reinforcement Learning Utilizing Vehicle-to-Vehicle Communication and Map Information,Journal of Robotics and Mechatronics,2024-6-19,,筆頭著者（指導学生）,Rb36-3-13398 (Vol.36 No.3 に掲載),https://www.scopus.com/pages/publications/85197352645
"Yuki Itoh, Junya Hoshino,Tenta Suzuki, Kenji Matsuda, Kaito Kumagae, Mao Tobisawa, Tomohiro Harada, Jyouhei Matsuoka, Toshinori Kagawa, Kiyohiko Hattori",Automatic Route Design by Stepwise Subdivision of Virtual Walls —Reduces Route Length and Speeds Up Execution Time—,Journal of Robotics and Mechatronics,2024-6-19,,筆頭著者（指導学生）,Rb36-3-13399 (Vol.36 No.3 に掲載),https://www.scopus.com/pages/publications/85201668925
"Tobisawa Mao, Kenji Matsuda, Tenta Suzuki, Tomohiro Harada, Jyunya Hoshino, Yuuki Itoh, Kaito Kumagae, Johei Matsuoka, Kiyohiko Hattori",Reinforcement learning-based autonomous driving control for efficient road utilization in lane-less environment,Artificial Life and Robotics,2025-4,,筆頭著者（指導学生）,,https://www.scopus.com/pages/publications/105000485970
"Reo Nakaya, Tomohiro Harada, Yukiya Miura, Kiyohiko Hattori  &Johei Matsuoka",Cooperative autonomous vehicle control with deep reinforcement learning in lane-free roundabouts and its adaptability to various geometries,"SICE Journal of Control, Measurement, and System Integration",2025-6,,共著者,,https://www.scopus.com/pages/publications/105007289897
"Reo Nakaya, Tomohiro Harada, Yukiya Miura, Kiyohiko Hattori & Johei Matsuoka ",Exploration of deep reinforcement learning method for cooperative control of connected automated vehicles at a roundabout,Springer Nature,2025-8,,共著者,,https://link.springer.com/article/10.1007/s10015-025-01056-8
"Kaito Kumagae, Tenta Suzuki, Mao Tobisawa, Tomohiro Harada, Johei Matsuoka, Yuki Itoh, Clive Jancen Kawaoto & Kiyohiko Hattori ",Reducing Collision Counts at Intersections Using Reinforcement Learning-Based Adaptive Speed Control,Springer Nature,2025-10,,筆頭著者（指導学生）,,https://link.springer.com/article/10.1007/s10015-025-01071-9
"Akito Takenaka, Tomohiro Harada, Yukiya Miura, Kiyohiko Hattori & Johei Matuoka ",Investigating vehicle size input strategies in deep reinforcement learning for cooperative autonomous driving,Springer Nature,2025-10,,共著者,,https://link.springer.com/article/10.1007/s10015-025-01071-9
"Yuki Itoh, Tomohiro Harada, Jyouhei Matsuoka, Toshinori Kagawa, Kiyohiko Hattori",Intersection Traffic Control with Individual Virtual Wall and Deceleration Avoidance in a Dynamic Traffic Flow Environment,Springer Nature,2026,,筆頭著者（指導学生）,採択済み、発行待ち,
